threads	model	runs	init_us	avg_us	p50_us	p95_us	std_us	mem_overall_mb
1	efficientdet_fp32	10	1405	105347.0	105399	105627	171.0	33.4531
1	efficientdet_int8	10	2246	101680.0	101668	101786	60.0	20.0156
1	mobilenet_v1_fp32	23	679	44562.4	44536	44657	96.0	25.4688
1	mobilenet_v1_int8	24	503	41919.3	41914	41996	34.0	8.5312
1	mobilenet_v2_fp32	31	482	32407.3	32423	32512	97.0	23.7656
1	mobilenet_v2_int8	33	661	31051.7	31047	31133	28.0	8.5469
4	efficientdet_fp32	14	1485	72161.9	72119	74353	1037.0	48.1719
4	efficientdet_int8	32	2136	31705.8	31690	31782	77.0	19.0469
4	mobilenet_v1_fp32	37	482	27426.1	27415	28330	433.0	41.8438
4	mobilenet_v1_int8	86	492	11661.4	11602	11863	248.0	7.5781
4	mobilenet_v2_fp32	43	516	23346.4	23330	23791	245.0	38.1094
4	mobilenet_v2_int8	107	749	9371.7	9316	9644	239.0	7.5469
