Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 25.962, 25.962, 100%, 100%, 244, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
AllocateTensors, 25.962, 25.962, 100%, 100%, 244, 1, AllocateTensors/0

Number of nodes executed: 1
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
AllocateTensors, 1, 25.962, 100%, 100%, 244, 1

Timings (microseconds): count=1 curr=25962
Memory (bytes): count=0
1 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
QUANTIZE, 7.225, 7.487, 0.227943%, 0.227943%, 0, 1, [tfl.quantize]:0
CONV_2D, 72.452, 65.1957, 1.9849%, 2.21284%, 0, 1, [efficientnet-lite0/stem/Relu6;efficientnet-lite0/stem/tpu_batch_normalization/FusedBatchNormV3;efficientnet-lite0/blocks_0/depthwise_conv2d/depthwise;efficientnet-lite0/stem/conv2d/Conv2D]:1
DEPTHWISE_CONV_2D, 41.035, 38.3577, 1.16781%, 3.38065%, 0, 1, [efficientnet-lite0/blocks_0/Relu6;efficientnet-lite0/blocks_0/tpu_batch_normalization/FusedBatchNormV3;efficientnet-lite0/blocks_0/depthwise_conv2d/depthwise]:2
CONV_2D, 32.722, 38.5687, 1.17423%, 4.55488%, 0, 1, [efficientnet-lite0/blocks_0/tpu_batch_normalization_1/FusedBatchNormV3;efficientnet-lite0/blocks_0/conv2d/Conv2D]:3
CONV_2D, 129.463, 144.817, 4.40898%, 8.96386%, 0, 1, [efficientnet-lite0/blocks_1/Relu6;efficientnet-lite0/blocks_1/tpu_batch_normalization/FusedBatchNormV3;efficientnet-lite0/blocks_1/depthwise_conv2d/depthwise;efficientnet-lite0/blocks_1/conv2d/Conv2D]:4
DEPTHWISE_CONV_2D, 29.348, 30.0573, 0.915103%, 9.87896%, 0, 1, [efficientnet-lite0/blocks_1/Relu6_1;efficientnet-lite0/blocks_1/tpu_batch_normalization_1/FusedBatchNormV3;efficientnet-lite0/blocks_1/depthwise_conv2d/depthwise]:5
CONV_2D, 36.902, 33.5857, 1.02252%, 10.9015%, 0, 1, [efficientnet-lite0/blocks_1/tpu_batch_normalization_2/FusedBatchNormV3;efficientnet-lite0/blocks_2/conv2d_1/Conv2D;efficientnet-lite0/blocks_1/conv2d_1/Conv2D]:6
CONV_2D, 75.358, 74.0473, 2.25439%, 13.1559%, 0, 1, [efficientnet-lite0/blocks_2/Relu6;efficientnet-lite0/blocks_2/tpu_batch_normalization/FusedBatchNormV3;efficientnet-lite0/blocks_3/depthwise_conv2d/depthwise;efficientnet-lite0/blocks_2/conv2d/Conv2D]:7
DEPTHWISE_CONV_2D, 41.909, 45.064, 1.37198%, 14.5279%, 0, 1, [efficientnet-lite0/blocks_2/Relu6_1;efficientnet-lite0/blocks_2/tpu_batch_normalization_1/FusedBatchNormV3;efficientnet-lite0/blocks_3/depthwise_conv2d/depthwise;efficientnet-lite0/blocks_2/depthwise_conv2d/depthwise]:8
CONV_2D, 55.612, 55.183, 1.68006%, 16.2079%, 0, 1, [efficientnet-lite0/blocks_2/tpu_batch_normalization_2/FusedBatchNormV3;efficientnet-lite0/blocks_2/conv2d_1/Conv2D]:9
ADD, 7.393, 8.36, 0.254522%, 16.4624%, 0, 1, [efficientnet-lite0/blocks_2/Add]:10
CONV_2D, 77.311, 72.6223, 2.211%, 18.6734%, 0, 1, [efficientnet-lite0/blocks_3/Relu6;efficientnet-lite0/blocks_3/tpu_batch_normalization/FusedBatchNormV3;efficientnet-lite0/blocks_3/depthwise_conv2d/depthwise;efficientnet-lite0/blocks_3/conv2d/Conv2D]:11
DEPTHWISE_CONV_2D, 32.164, 27.8433, 0.847697%, 19.5211%, 0, 1, [efficientnet-lite0/blocks_3/Relu6_1;efficientnet-lite0/blocks_3/tpu_batch_normalization_1/FusedBatchNormV3;efficientnet-lite0/blocks_3/depthwise_conv2d/depthwise]:12
CONV_2D, 28.776, 24.738, 0.753154%, 20.2743%, 0, 1, [efficientnet-lite0/blocks_3/tpu_batch_normalization_2/FusedBatchNormV3;efficientnet-lite0/blocks_4/conv2d_1/Conv2D;efficientnet-lite0/blocks_3/conv2d_1/Conv2D]:13
CONV_2D, 55.984, 48.6343, 1.48068%, 21.755%, 0, 1, [efficientnet-lite0/blocks_4/Relu6;efficientnet-lite0/blocks_4/tpu_batch_normalization/FusedBatchNormV3;efficientnet-lite0/blocks_5/depthwise_conv2d/depthwise;efficientnet-lite0/blocks_4/conv2d/Conv2D]:14
DEPTHWISE_CONV_2D, 50.495, 47.1007, 1.43399%, 23.189%, 0, 1, [efficientnet-lite0/blocks_4/Relu6_1;efficientnet-lite0/blocks_4/tpu_batch_normalization_1/FusedBatchNormV3;efficientnet-lite0/blocks_5/depthwise_conv2d/depthwise;efficientnet-lite0/blocks_4/depthwise_conv2d/depthwise]:15
CONV_2D, 41.107, 40.3147, 1.22739%, 24.4164%, 0, 1, [efficientnet-lite0/blocks_4/tpu_batch_normalization_2/FusedBatchNormV3;efficientnet-lite0/blocks_4/conv2d_1/Conv2D]:16
ADD, 10.328, 9.007, 0.27422%, 24.6906%, 0, 1, [efficientnet-lite0/blocks_4/Add]:17
CONV_2D, 42.036, 41.3707, 1.25954%, 25.9501%, 0, 1, [efficientnet-lite0/blocks_5/Relu6;efficientnet-lite0/blocks_5/tpu_batch_normalization/FusedBatchNormV3;efficientnet-lite0/blocks_5/depthwise_conv2d/depthwise;efficientnet-lite0/blocks_5/conv2d/Conv2D]:18
