image	class_dir	class_name	imagenet_id
img01	n01440764	tench	1
img02	n01440764	tench	1
img03	n01440764	tench	1
img04	n01440764	tench	1
img05	n01440764	tench	1
img06	n01440764	tench	1
img07	n01440764	tench	1
img08	n01440764	tench	1
img09	n01440764	tench	1
img10	n01440764	tench	1
img11	n01440764	tench	1
img12	n01440764	tench	1
img13	n01440764	tench	1
img14	n01440764	tench	1
img15	n01440764	tench	1
img16	n01440764	tench	1
img17	n01440764	tench	1
img18	n01440764	tench	1
img19	n01440764	tench	1
img20	n01440764	tench	1
img21	n02102040	English springer	218
img22	n02102040	English springer	218
img23	n02102040	English springer	218
img24	n02102040	English springer	218
img25	n02102040	English springer	218
img26	n02102040	English springer	218
img27	n02102040	English springer	218
img28	n02102040	English springer	218
img29	n02102040	English springer	218
img30	n02102040	English springer	218
img31	n02102040	English springer	218
img32	n02102040	English springer	218
img33	n02102040	English springer	218
img34	n02102040	English springer	218
img35	n02102040	English springer	218
img36	n02102040	English springer	218
img37	n02102040	English springer	218
img38	n02102040	English springer	218
img39	n02102040	English springer	218
img40	n02102040	English springer	218
img41	n02979186	cassette player	483
img42	n02979186	cassette player	483
img43	n02979186	cassette player	483
img44	n02979186	cassette player	483
img45	n02979186	cassette player	483
img46	n02979186	cassette player	483
img47	n02979186	cassette player	483
img48	n02979186	cassette player	483
img49	n02979186	cassette player	483
img50	n02979186	cassette player	483
img51	n02979186	cassette player	483
img52	n02979186	cassette player	483
img53	n02979186	cassette player	483
img54	n02979186	cassette player	483
img55	n02979186	cassette player	483
img56	n02979186	cassette player	483
img57	n02979186	cassette player	483
img58	n02979186	cassette player	483
img59	n02979186	cassette player	483
img60	n02979186	cassette player	483
img61	n03000684	chain saw	492
img62	n03000684	chain saw	492
img63	n03000684	chain saw	492
img64	n03000684	chain saw	492
img65	n03000684	chain saw	492
img66	n03000684	chain saw	492
img67	n03000684	chain saw	492
img68	n03000684	chain saw	492
img69	n03000684	chain saw	492
img70	n03000684	chain saw	492
img71	n03000684	chain saw	492
img72	n03000684	chain saw	492
img73	n03000684	chain saw	492
img74	n03000684	chain saw	492
img75	n03000684	chain saw	492
img76	n03000684	chain saw	492
img77	n03000684	chain saw	492
img78	n03000684	chain saw	492
img79	n03000684	chain saw	492
img80	n03000684	chain saw	492
img81	n03028079	church	498
img82	n03028079	church	498
img83	n03028079	church	498
img84	n03028079	church	498
img85	n03028079	church	498
img86	n03028079	church	498
img87	n03028079	church	498
